ikea-com.mail.protection.outlook.com.               104.47.0.36
jp.accounts.ikea.com                                23.214.25.95
kdb.ikea.com                                        34.96.120.239
kiosk.kitchen.planner.ikea.com                      23.14.248.238
kitchen.planner.ikea.com                            23.14.248.238
kitchenplanner.ikea.com                             23.14.248.238
knowledge.ikea.com                                  216.58.206.179
ko-int-jobs.about.ikea.com                          23.53.42.155
ko-jobs.about.ikea.com                              23.53.42.139
kr.accounts.ikea.com                                23.214.25.95
kr.chat.ikea.com                                    192.71.68.232
lifeathome2018.ikea.com                             209.97.189.154
lifeathome.ikea.com                                 209.97.189.154
links.family.email.ikea.com                         74.112.69.20
lt-int-jobs.about.ikea.com                          23.53.42.210
lt-jobs.about.ikea.com                              23.53.42.186
lv-int-jobs.about.ikea.com                          23.53.42.137
lv-jobs.about.ikea.com                              23.53.42.178
lwc.ikea.com                                        204.74.99.103
lyncdiscover.ikea.com                               52.113.64.150
m2.ikea.com                                         23.14.248.238
mail02.ikea.com                                     192.71.68.114
Mail02.ikea.com                                     192.71.68.114
mail03.ikea.com                                     192.71.68.117
Mail03.ikea.com                                     192.71.68.117
mail11.ikea.com                                     192.71.68.97
mail12.ikea.com                                     192.71.68.96
Mail12.ikea.com                                     192.71.68.96
mail13.ikea.com                                     192.71.68.97
Mail13.ikea.com                                     192.71.68.97
mail14.ikea.com                                     192.71.68.78
Mail14.ikea.com                                     192.71.68.78
mail15.ikea.com                                     192.71.68.79
Mail15.ikea.com                                     192.71.68.79
mail301.ikea.com                                    101.52.132.215
mail302.ikea.com                                    101.52.132.216
Mail302.ikea.com                                    101.52.132.216
mail303.ikea.com                                    101.52.132.215
Mail303.ikea.com                                    101.52.132.215
mail3767.family.email.ikea.com                      74.121.48.252
m.ar.ikea.com                                       23.214.4.84
mdm.bsrs.inter.ikea.com                             65.52.147.73
mdmdev.bsrs.inter.ikea.com                          13.81.250.133
mdmtest.bsrs.inter.ikea.com                         13.93.64.72
media.ikea.com                                      62.3.130.140
memoriaanual.ikea.com                               87.98.231.40
metrics.ikea.com                                    15.236.9.100
m.fr.ikea.com                                       23.214.4.84
m.ikea.com                                          23.14.248.238
mmapi.ikea.com                                      23.214.21.71
mobile.ikea.com                                     204.74.99.103
mobil.ikea.com                                      204.74.99.103
mrsone.ikea.com                                     192.71.69.8
mrstwo.ikea.com                                     192.71.69.9
ms-int-jobs.about.ikea.com                          2.16.110.43
ms-jobs.about.ikea.com                              2.16.110.10
msoid.ikea.com                                      40.126.1.129
mta.news.email.ikea.com                             161.71.35.74
mta.services.email.ikea.com                         13.111.79.27
mynews.ikea.com                                     85.119.134.233
mypassword.ikea.com                                 192.71.69.29
my.videocall.ikea.com                               91.240.204.28
na.centiro.ikea.com                                 193.228.157.171
news.email.ikea.com                                 161.71.33.242
news.ikea.com                                       23.214.4.84
news-inter.ikea.com                                 23.214.4.84
news.inter.ikea.com                                 40.68.20.0
newsroom.inter.ikea.com                             52.85.10.4
nl.accounts.ikea.com                                23.214.25.95
nl-int-jobs.about.ikea.com                          2.19.193.27
nl-jobs.about.ikea.com                              2.19.193.58
nl-nl.customersupport.ikea.com                      74.117.207.115
